Position Drafted,Team,Draft Year,Team PF,Team Yds,Team Ply,Team Y/P,Team TO,Team FL,Team 1stD,Team Cmp,Team Att,Team Yds,Team TD,Team Int,Team NY/A,Team 1stD,Team Att,Team Yds,Team TD,Team Y/A,Team 1stD,Team Pen,Team Yds,Team 1stPy,Team #Dr,Team Sc%,Team TO%,Team Start,Team Time,Team Plays,Team Yds,Team Pts,Opp. PF,Opp. Yds,Opp. Ply,Opp. Y/P,Opp. TO,Opp. FL,Opp. 1stD,Opp. Cmp,Opp. Att,Opp. Yds,Opp. TD,Opp. Int,Opp. NY/A,Opp. 1stD,Opp. Att,Opp. Yds,Opp. TD,Opp. Y/A,Opp. 1stD,Opp. Pen,Opp. Yds,Opp. 1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Start,Opp. Time,Opp. Plays,Opp. Yds,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank Ply,Off. Rank Y/P,Off. Rank TO,Off. Rank FL,Off. Rank 1stD,Off. Rank Cmp,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Y/A,Off. Rank 1stD,Off. Rank Pen,Off. Rank Yds,Off. Rank 1stPy,Off. Rank #Dr,Off. Rank Sc%,Off. Rank TO%,Off. Rank Start,Off. Rank Time,Off. Rank Plays,Off. Rank Yds,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank Ply,Def. Rank Y/P,Def. Rank TO,Def. Rank FL,Def. Rank 1stD,Def. Rank Cmp,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank 1stD,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Y/A,Def. Rank 1stD,Def. Rank Pen,Def. Rank Yds,Def. Rank 1stPy,Def. Rank #Dr,Def. Rank Sc%,Def. Rank TO%,Def. Rank Start,Def. Rank Time,Def. Rank Plays,Def. Rank Yds,Def. Rank Pts
QB,Bengals,2020,279,5169,1049,4.9,30,14,312,356,616,3652,18,16,5.5,191,385,1517,9,3.9,85,93,761,36,181,29.8,15.5,Own 28.0,2:37,5.97,28.5,1.49,420,6299,1034,6.1,16,5,328,308,499,3917,25,11,7.4,183,504,2382,17,4.7,124,122,988,21,183,39.3,8.7,Own 27.8,2:43,5.8,34.4,2.10,30,26,,,27,28,24,,6,19,28,23,27,,25,25,26,24,,,,,,27,5,20,19,12,24,28,25,29,,,28,30,17,,2,21,17,22,31,,32,32,27,25,,,,,,9,27,12,18,15,28,22
DE,Redskins,2020,266,4395,885,5.0,21,8,248,298,479,2812,18,13,5.3,154,356,1583,9,4.4,74,106,835,20,176,29.5,11.9,Own 28.3,2:28,5.18,25.0,1.50,435,6162,1079,5.7,22,9,354,371,540,3823,35,13,6.5,200,493,2339,14,4.7,120,94,805,34,176,42.0,11.9,Own 31.9,3:01,6.3,34.9,2.38,32,31,,,16,11,32,,28,32,28,18,30,,31,22,26,13,,,,,,28,11,17,31,31,30,29,27,27,,,15,14,28,,11,18,30,12,21,,31,31,17,26,,,,,,4,15,31,31,29,29,30
DB,Lions,2020,341,5549,1021,5.4,23,8,313,344,571,3900,28,15,6.4,196,407,1649,7,4.1,82,113,937,35,183,33.3,12.0,Own 28.6,2:33,5.75,30.3,1.77,423,6406,1094,5.9,18,11,365,381,611,4551,33,7,7.1,232,455,1855,13,4.1,94,117,960,39,181,40.3,8.8,Own 26.1,2:47,6.2,35.4,2.23,18,17,,,19,11,23,,17,10,10,21,15,,16,21,29,22,,,,,,20,14,15,22,23,20,21,26,31,,,24,7,31,,31,32,27,30,28,,26,21,14,10,,,,,,7,25,3,21,28,30,24
 T,Giants,2020,341,5416,1012,5.4,33,16,311,376,607,3731,30,17,5.7,187,362,1685,11,4.7,89,90,784,35,185,28.6,17.8,Own 26.9,2:29,5.56,29.2,1.75,451,6037,1061,5.7,16,6,343,369,556,4225,30,10,7.1,211,469,1812,19,3.9,100,117,922,32,186,39.8,8.6,Own 29.9,2:44,5.9,32.4,2.25,18,23,,,30,32,25,,9,18,5,25,23,,29,19,22,7,,,,,,31,3,29,25,27,23,23,30,25,,,28,27,22,,17,28,25,25,29,,29,20,28,4,,,,,,8,29,25,19,17,20,25
QB,Dolphins,2020,306,4960,1022,4.9,26,8,315,371,615,3804,22,18,5.7,210,349,1156,10,3.3,64,92,769,41,182,30.2,13.7,Own 27.7,2:32,5.78,27.1,1.61,494,6364,1053,6.0,16,3,361,344,545,4198,39,13,7.4,214,485,2166,15,4.5,113,111,1084,34,185,45.9,8.6,Own 30.5,2:44,5.9,34.2,2.55,25,27,,,25,11,18,,7,12,19,27,26,,32,32,24,31,,,,,,26,9,23,22,19,29,25,32,30,,,28,31,30,,14,26,32,12,32,,30,27,21,22,,,,,,1,28,27,20,20,26,32
QB,Chargers,2020,337,5879,997,5.9,31,11,349,394,597,4426,24,20,7.0,220,366,1453,12,4.0,90,103,872,39,160,38.8,18.1,Own 26.3,3:05,6.44,36.6,2.06,345,5009,923,5.4,14,3,285,328,464,3204,21,11,6.5,156,429,1805,15,4.2,101,108,959,28,161,36.6,8.7,Own 29.5,2:56,5.9,31.1,1.99,21,10,,,29,22,7,,10,6,17,29,8,,28,28,20,23,,,,,,8,2,31,2,3,4,11,14,6,,,32,31,3,,1,5,8,22,20,,21,18,21,15,,,,,,15,32,23,29,21,15,18
DT,Panthers,2020,340,5469,1077,5.1,35,14,335,382,633,3650,17,21,5.3,230,386,1819,20,4.7,82,87,754,23,192,32.3,16.7,Own 29.0,2:25,5.77,28.5,1.74,470,5992,1042,5.8,21,7,355,347,544,3696,21,14,6.2,197,445,2296,31,5.2,128,109,940,30,197,40.1,10.2,Own 30.0,2:32,5.5,30.4,2.26,20,19,,,31,28,15,,2,20,31,30,31,,24,14,4,6,,,,,,23,4,12,32,18,25,22,31,23,,,17,24,29,,12,13,8,8,14,,25,29,32,32,,,,,,5,23,24,5,3,14,28
LB,Cardinals,2020,361,5467,1000,5.5,18,6,314,355,554,3477,20,12,5.8,176,396,1990,18,5.0,109,121,956,29,178,38.8,10.1,Own 27.7,2:29,5.81,30.6,2.02,442,6432,1080,6.0,17,10,375,421,601,4510,38,7,7.0,243,439,1922,9,4.4,94,114,1041,38,172,43.0,9.3,Own 27.5,3:04,6.5,37.4,2.38,16,21,,,9,2,20,,18,24,25,15,22,,19,10,7,2,,,,,,9,24,21,27,17,19,14,28,32,,,25,10,32,,28,31,31,30,27,,23,24,5,20,,,,,,3,22,7,32,31,32,29
DB,Jaguars,2020,300,5468,1020,5.4,20,12,298,364,589,3760,24,8,6.0,183,389,1708,3,4.4,85,132,1165,30,177,33.9,10.2,Own 25.9,2:45,5.95,30.9,1.63,397,6007,999,6.0,19,9,340,327,517,3778,22,10,6.7,193,435,2229,23,5.1,114,102,883,33,180,37.2,9.4,Own 29.5,2:37,5.7,33.2,2.12,26,20,,,13,26,27,,12,16,17,5,19,,23,17,32,15,,,,,,19,22,32,13,14,17,26,21,24,,,22,14,21,,5,16,12,25,23,,22,28,31,31,,,,,,13,24,21,9,10,22,23
 T,Browns,2020,335,5455,973,5.6,28,7,305,318,539,3554,22,21,6.1,180,393,1901,15,4.8,90,122,1106,35,183,33.9,14.8,Own 29.3,2:36,5.48,29.7,1.83,393,5785,1014,5.7,20,6,345,318,513,3470,25,14,6.3,184,463,2315,19,5.0,124,107,836,37,182,36.8,11.0,Own 28.0,2:40,5.7,31.7,2.07,22,22,,,26,5,26,,19,22,19,30,17,,22,12,15,4,,,,,,18,7,8,20,28,22,20,20,22,,,19,27,25,,3,7,17,8,17,,28,30,28,30,,,,,,17,17,13,13,11,17,21
